연도,매출액,영업이익,당기순이익,ROE,기준연도,적용 영업이익(E),적용 영업이익 기준연도,적용 당기순이익(E),적용 당기순이익 기준연도,적용 ROE(E),적용 ROE 기준연도,적용 ROE 소스,종목코드,종목명
2027,72391.0,7068.0,5584.0,16.18,2026,7950.0,2028,6263.0,2028,15.85,2026,FnGuide 메인 재무테이블 올해 전망,A064400,LG씨엔에스
2028,79376.0,7950.0,6263.0,16.27,2026,7950.0,2028,6263.0,2028,15.85,2026,FnGuide 메인 재무테이블 올해 전망,A064400,LG씨엔에스
2021,1310.0,88.0,83.0,13.54,2026,4085.0,2028,3267.0,2028,39.78,2026,FnGuide 메인 재무테이블 올해 전망,A257720,실리콘투
2022,1653.0,142.0,112.0,12.21,2026,4085.0,2028,3267.0,2028,39.78,2026,FnGuide 메인 재무테이블 올해 전망,A257720,실리콘투
2023,3429.0,478.0,380.0,32.86,2026,4085.0,2028,3267.0,2028,39.78,2026,FnGuide 메인 재무테이블 올해 전망,A257720,실리콘투
2024,6915.0,1376.0,1207.0,60.9,2026,4085.0,2028,3267.0,2028,39.78,2026,FnGuide 메인 재무테이블 올해 전망,A257720,실리콘투
2025,11163.0,2054.0,1686.0,46.89,2026,4085.0,2028,3267.0,2028,39.78,2026,FnGuide 메인 재무테이블 올해 전망,A257720,실리콘투
2026,15523.0,2746.0,2189.0,39.78,2026,4085.0,2028,3267.0,2028,39.78,2026,FnGuide 메인 재무테이블 올해 전망,A257720,실리콘투
2027,19532.0,3495.0,2754.0,35.58,2026,4085.0,2028,3267.0,2028,39.78,2026,FnGuide 메인 재무테이블 올해 전망,A257720,실리콘투
2028,22840.0,4085.0,3267.0,30.4,2026,4085.0,2028,3267.0,2028,39.78,2026,FnGuide 메인 재무테이블 올해 전망,A257720,실리콘투
2021,55414.0,2771.0,3018.0,9.21,2026,61777.0,2028,47325.0,2028,20.18,2026,FnGuide 메인 재무테이블 올해 전망,A012450,한화에어로스페이스
2022,70604.0,4003.0,1466.0,6.8,2026,61777.0,2028,47325.0,2028,20.18,2026,FnGuide 메인 재무테이블 올해 전망,A012450,한화에어로스페이스
2023,78897.0,5943.0,9769.0,25.6,2026,61777.0,2028,47325.0,2028,20.18,2026,FnGuide 메인 재무테이블 올해 전망,A012450,한화에어로스페이스
2024,112401.0,17319.0,25399.0,53.94,2026,61777.0,2028,47325.0,2028,20.18,2026,FnGuide 메인 재무테이블 올해 전망,A012450,한화에어로스페이스
2025,267029.0,30893.0,22020.0,19.14,2026,61777.0,2028,47325.0,2028,20.18,2026,FnGuide 메인 재무테이블 올해 전망,A012450,한화에어로스페이스
2026,300694.0,42599.0,32021.0,20.18,2026,61777.0,2028,47325.0,2028,20.18,2026,FnGuide 메인 재무테이블 올해 전망,A012450,한화에어로스페이스
2027,343930.0,54936.0,41349.0,21.86,2026,61777.0,2028,47325.0,2028,20.18,2026,FnGuide 메인 재무테이블 올해 전망,A012450,한화에어로스페이스
2028,366214.0,61777.0,47325.0,20.44,2026,61777.0,2028,47325.0,2028,20.18,2026,FnGuide 메인 재무테이블 올해 전망,A012450,한화에어로스페이스
2021,83113.0,-8003.0,-8142.0,-14.87,2026,51330.0,2028,40945.0,2028,28.48,2026,FnGuide 메인 재무테이블 올해 전망,A329180,HD현대중공업
2022,90455.0,-2892.0,-3521.0,-6.47,2026,51330.0,2028,40945.0,2028,28.48,2026,FnGuide 메인 재무테이블 올해 전망,A329180,HD현대중공업
2023,119639.0,1786.0,247.0,0.47,2026,51330.0,2028,40945.0,2028,28.48,2026,FnGuide 메인 재무테이블 올해 전망,A329180,HD현대중공업
2024,144865.0,7052.0,6215.0,11.39,2026,51330.0,2028,40945.0,2028,28.48,2026,FnGuide 메인 재무테이블 올해 전망,A329180,HD현대중공업
2025,175806.0,20375.0,14155.0,18.82,2026,51330.0,2028,40945.0,2028,28.48,2026,FnGuide 메인 재무테이블 올해 전망,A329180,HD현대중공업
2026,247615.0,38593.0,30421.0,28.48,2026,51330.0,2028,40945.0,2028,28.48,2026,FnGuide 메인 재무테이블 올해 전망,A329180,HD현대중공업
2027,265256.0,45344.0,35653.0,26.74,2026,51330.0,2028,40945.0,2028,28.48,2026,FnGuide 메인 재무테이블 올해 전망,A329180,HD현대중공업
2028,283494.0,51330.0,40945.0,25.25,2026,51330.0,2028,40945.0,2028,28.48,2026,FnGuide 메인 재무테이블 올해 전망,A329180,HD현대중공업
